dataset_name,model_name,temperature,script_name,len(accessed_columns_prediction),len(accessed_columns_ground_truth),accessed_columns_f1,correlated_columns_recall
IPL_win_prediction,gpt-4.1,0.6,general_task_12,15,15,1.0,0.5
IPL_win_prediction,gpt-5-mini,0.6,general_task_12,15,15,1.0,0.5
IPL_win_prediction,gpt-4o,0.6,general_task_12,15,15,1.0,0.5
IPL_win_prediction,gpt-5,0.6,general_task_12,15,15,1.0,0.5
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_17,16,16,1.0,1.0
IPL_win_prediction,gpt-5,0.6,general_task_17,16,16,1.0,0.0
IPL_win_prediction,gpt-4.1,0.6,general_task_17,16,16,1.0,0.0
IPL_win_prediction,gpt-4o,0.6,general_task_17,16,16,1.0,1.0
IPL_win_prediction,gpt-5-mini,0.6,general_task_17,16,16,1.0,0.0
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_17,16,16,1.0,1.0
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_18,16,16,1.0,0.0
IPL_win_prediction,gpt-5-mini,0.6,general_task_18,16,16,1.0,0.0
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_18,16,16,1.0,0.0
IPL_win_prediction,gpt-4.1,0.6,general_task_18,16,16,1.0,0.0
IPL_win_prediction,gpt-5,0.6,general_task_18,16,16,1.0,0.0
IPL_win_prediction,gpt-4o,0.6,general_task_18,16,16,1.0,0.0
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_19,14,14,1.0,0.3333333333333333
IPL_win_prediction,gpt-5-mini,0.6,general_task_19,14,14,1.0,0.6666666666666666
IPL_win_prediction,gpt-4o,0.6,general_task_19,14,14,1.0,0.3333333333333333
IPL_win_prediction,gpt-5,0.6,general_task_19,14,14,1.0,0.3333333333333333
IPL_win_prediction,gpt-4.1,0.6,general_task_19,14,14,1.0,0.3333333333333333
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_19,14,14,1.0,0.3333333333333333
IPL_win_prediction,gpt-4.1,0.6,general_task_22,11,11,1.0,0.5
IPL_win_prediction,gpt-5,0.6,general_task_22,11,11,1.0,0.5
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_22,11,11,1.0,0.5
IPL_win_prediction,gpt-5-mini,0.6,general_task_22,11,11,1.0,0.0
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_22,11,11,1.0,0.5
IPL_win_prediction,gpt-4o,0.6,general_task_22,11,11,1.0,0.0
IPL_win_prediction,gpt-5-mini,0.6,general_task_24,9,9,1.0,0.0
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_24,9,9,1.0,0.0
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_24,9,9,1.0,0.0
IPL_win_prediction,gpt-4.1,0.6,general_task_24,9,9,1.0,0.0
IPL_win_prediction,gpt-5,0.6,general_task_24,9,9,1.0,0.0
IPL_win_prediction,gpt-4o,0.6,general_task_24,9,9,1.0,0.0
IPL_win_prediction,gpt-4o,0.6,general_task_26,14,14,1.0,0.5
IPL_win_prediction,gpt-5-mini,0.6,general_task_26,14,14,1.0,0.0
IPL_win_prediction,gpt-5,0.6,general_task_26,14,14,1.0,0.5
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_26,14,14,1.0,0.5
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_26,14,14,1.0,0.5
IPL_win_prediction,gpt-4.1,0.6,general_task_26,14,14,1.0,0.5
IPL_win_prediction,gpt-5,0.6,general_task_29,13,13,1.0,0.5
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_29,13,13,1.0,0.5
IPL_win_prediction,gpt-4o,0.6,general_task_29,13,13,1.0,0.5
IPL_win_prediction,gpt-4.1,0.6,general_task_29,13,13,1.0,0.5
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_29,13,13,1.0,0.5
IPL_win_prediction,gpt-5-mini,0.6,general_task_29,13,13,1.0,0.5
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_31,11,11,1.0,0.0
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_31,11,11,1.0,0.0
IPL_win_prediction,gpt-5-mini,0.6,general_task_31,11,11,1.0,0.0
IPL_win_prediction,gpt-5,0.6,general_task_31,11,11,1.0,0.0
IPL_win_prediction,gpt-4.1,0.6,general_task_31,11,11,1.0,0.0
IPL_win_prediction,gpt-4o,0.6,general_task_31,11,11,1.0,0.0
IPL_win_prediction,gpt-5-mini,0.6,general_task_32,10,10,1.0,0.0
IPL_win_prediction,gpt-4o,0.6,general_task_32,10,10,1.0,0.0
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_32,10,10,1.0,0.0
IPL_win_prediction,gpt-4.1,0.6,general_task_32,10,10,1.0,0.0
IPL_win_prediction,gpt-5,0.6,general_task_32,10,10,1.0,0.0
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_32,10,10,1.0,0.0
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_33,9,8,0.9411764705882353,0.0
IPL_win_prediction,gpt-5-mini,0.6,general_task_33,9,8,0.9411764705882353,0.0
IPL_win_prediction,gpt-5,0.6,general_task_33,9,8,0.9411764705882353,0.0
IPL_win_prediction,gpt-4.1,0.6,general_task_33,9,8,0.9411764705882353,0.0
IPL_win_prediction,gpt-4o,0.6,general_task_33,9,8,0.9411764705882353,0.0
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_33,9,8,0.9411764705882353,0.0
IPL_win_prediction,gpt-4.1,0.6,general_task_36,19,15,0.8823529411764706,0.0
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_36,15,15,1.0,0.0
IPL_win_prediction,gpt-5,0.6,general_task_36,15,15,1.0,0.0
IPL_win_prediction,gpt-5-mini,0.6,general_task_36,15,15,1.0,0.0
IPL_win_prediction,gpt-4o,0.6,general_task_36,15,15,0.8666666666666667,0.0
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_36,15,15,1.0,0.5
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_5,9,9,1.0,1.0
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_5,9,9,1.0,1.0
IPL_win_prediction,gpt-5-mini,0.6,general_task_5,9,9,1.0,1.0
IPL_win_prediction,gpt-5,0.6,general_task_5,9,9,1.0,0.5
IPL_win_prediction,gpt-4o,0.6,general_task_5,9,9,1.0,0.5
IPL_win_prediction,gpt-4.1,0.6,general_task_5,9,9,1.0,0.5
sleep_health,gpt-5-mini,0.6,general_task_0,8,8,1.0,1.0
sleep_health,gpt-5,0.6,general_task_0,8,8,1.0,1.0
sleep_health,gpt-4o,0.6,general_task_0,8,8,1.0,1.0
sleep_health,gemini-2.5-flash,0.6,general_task_0,8,8,1.0,1.0
sleep_health,gpt-4.1,0.6,general_task_0,8,8,1.0,1.0
sleep_health,gemini-2.5-pro,0.6,general_task_0,8,8,1.0,1.0
sleep_health,gpt-4.1,0.6,general_task_1,11,10,0.9523809523809523,1.0
sleep_health,gemini-2.5-pro,0.6,general_task_1,11,10,0.9523809523809523,1.0
sleep_health,gemini-2.5-flash,0.6,general_task_1,11,10,0.9523809523809523,1.0
sleep_health,gpt-5,0.6,general_task_1,11,10,0.9523809523809523,1.0
sleep_health,gpt-4o,0.6,general_task_1,10,10,1.0,1.0
sleep_health,gpt-5-mini,0.6,general_task_1,11,10,0.9523809523809523,0.0
sleep_health,gpt-5,0.6,general_task_11,11,10,0.9523809523809523,1.0
sleep_health,gemini-2.5-pro,0.6,general_task_11,11,10,0.9523809523809523,1.0
sleep_health,gpt-4.1,0.6,general_task_11,11,10,0.9523809523809523,1.0
sleep_health,gpt-5-mini,0.6,general_task_11,11,10,0.9523809523809523,1.0
sleep_health,gemini-2.5-flash,0.6,general_task_11,11,10,0.9523809523809523,1.0
sleep_health,gpt-4o,0.6,general_task_11,10,10,1.0,1.0
sleep_health,gpt-4o,0.6,general_task_17,11,11,1.0,0.0
sleep_health,gpt-5,0.6,general_task_17,11,11,1.0,1.0
sleep_health,gpt-4.1,0.6,general_task_17,11,11,1.0,0.0
sleep_health,gemini-2.5-pro,0.6,general_task_17,11,11,1.0,1.0
sleep_health,gpt-5-mini,0.6,general_task_17,11,11,1.0,0.5
sleep_health,gemini-2.5-flash,0.6,general_task_17,11,11,1.0,0.0
sleep_health,gemini-2.5-flash,0.6,general_task_2,10,10,1.0,0.0
sleep_health,gpt-5,0.6,general_task_2,10,10,1.0,0.0
sleep_health,gpt-4o,0.6,general_task_2,10,10,1.0,0.0
sleep_health,gpt-4.1,0.6,general_task_2,10,10,1.0,0.0
sleep_health,gemini-2.5-pro,0.6,general_task_2,10,10,1.0,0.0
sleep_health,gpt-5-mini,0.6,general_task_2,10,10,1.0,0.0
sleep_health,gemini-2.5-flash,0.6,general_task_21,9,9,1.0,0.0
sleep_health,gpt-5-mini,0.6,general_task_21,9,9,1.0,0.0
sleep_health,gemini-2.5-pro,0.6,general_task_21,9,9,1.0,0.0
sleep_health,gpt-4.1,0.6,general_task_21,9,9,1.0,0.0
sleep_health,gpt-4o,0.6,general_task_21,9,9,1.0,0.0
sleep_health,gpt-5,0.6,general_task_21,9,9,1.0,0.0
sleep_health,gemini-2.5-flash,0.6,general_task_23,9,8,0.9411764705882353,1.0
sleep_health,gpt-4o,0.6,general_task_23,9,8,0.9411764705882353,1.0
sleep_health,gemini-2.5-pro,0.6,general_task_23,9,8,0.9411764705882353,1.0
sleep_health,gpt-4.1,0.6,general_task_23,9,8,0.9411764705882353,1.0
sleep_health,gpt-5-mini,0.6,general_task_23,9,8,0.9411764705882353,1.0
sleep_health,gpt-5,0.6,general_task_23,9,8,0.9411764705882353,1.0
sleep_health,gemini-2.5-pro,0.6,general_task_3,11,11,1.0,0.5
sleep_health,gpt-4.1,0.6,general_task_3,11,11,1.0,0.5
sleep_health,gemini-2.5-flash,0.6,general_task_3,11,11,1.0,0.5
sleep_health,gpt-4o,0.6,general_task_3,12,11,0.9565217391304348,0.5
sleep_health,gpt-5,0.6,general_task_3,11,11,1.0,0.5
sleep_health,gpt-5-mini,0.6,general_task_3,11,11,1.0,0.5
sleep_health,gpt-4.1,0.6,general_task_32,11,11,1.0,1.0
sleep_health,gpt-5-mini,0.6,general_task_32,11,11,1.0,1.0
sleep_health,gemini-2.5-pro,0.6,general_task_32,11,11,1.0,1.0
sleep_health,gemini-2.5-flash,0.6,general_task_32,11,11,1.0,1.0
sleep_health,gpt-5,0.6,general_task_32,11,11,1.0,1.0
sleep_health,gpt-4o,0.6,general_task_32,11,11,1.0,1.0
sleep_health,gpt-5-mini,0.6,general_task_38,11,11,1.0,1.0
sleep_health,gpt-5,0.6,general_task_38,11,11,1.0,1.0
sleep_health,gpt-4o,0.6,general_task_38,11,11,1.0,1.0
sleep_health,gemini-2.5-flash,0.6,general_task_38,11,11,1.0,0.0
sleep_health,gemini-2.5-pro,0.6,general_task_38,11,11,1.0,1.0
sleep_health,gpt-4.1,0.6,general_task_38,11,11,1.0,1.0
sleep_health,gpt-4o,0.6,general_task_4,9,9,1.0,1.0
sleep_health,gemini-2.5-pro,0.6,general_task_4,9,9,1.0,1.0
sleep_health,gpt-5-mini,0.6,general_task_4,9,9,1.0,1.0
sleep_health,gpt-5,0.6,general_task_4,9,9,1.0,1.0
sleep_health,gpt-4.1,0.6,general_task_4,9,9,1.0,1.0
sleep_health,gemini-2.5-flash,0.6,general_task_4,9,9,1.0,1.0
sleep_health,gpt-5,0.6,general_task_6,8,8,1.0,1.0
sleep_health,gemini-2.5-pro,0.6,general_task_6,8,8,1.0,1.0
sleep_health,gemini-2.5-flash,0.6,general_task_6,8,8,1.0,1.0
sleep_health,gpt-4o,0.6,general_task_6,8,8,1.0,0.0
sleep_health,gpt-5-mini,0.6,general_task_6,8,8,1.0,1.0
sleep_health,gpt-4.1,0.6,general_task_6,8,8,1.0,1.0
sleep_health,gpt-4o,0.6,general_task_8,11,11,1.0,0.3333333333333333
sleep_health,gemini-2.5-pro,0.6,general_task_8,11,11,1.0,0.3333333333333333
sleep_health,gpt-5-mini,0.6,general_task_8,11,11,1.0,0.3333333333333333
sleep_health,gpt-5,0.6,general_task_8,11,11,1.0,0.3333333333333333
sleep_health,gpt-4.1,0.6,general_task_8,11,11,1.0,0.3333333333333333
sleep_health,gemini-2.5-flash,0.6,general_task_8,11,11,1.0,0.3333333333333333
hr_analytics,gpt-5,0.6,general_task_1,19,20,0.9743589743589743,0.5
hr_analytics,gemini-2.5-flash,0.6,general_task_1,19,20,0.9743589743589743,0.5
hr_analytics,gpt-5-mini,0.6,general_task_1,19,20,0.9743589743589743,0.25
hr_analytics,gpt-4o,0.6,general_task_1,19,20,0.9743589743589743,0.5
hr_analytics,gemini-2.5-pro,0.6,general_task_1,19,20,0.9743589743589743,0.5
hr_analytics,gpt-4.1,0.6,general_task_1,19,20,0.9743589743589743,0.5
hr_analytics,gpt-4.1,0.6,general_task_11,12,12,1.0,0.0
hr_analytics,gpt-5-mini,0.6,general_task_11,12,12,1.0,0.0
hr_analytics,gpt-5,0.6,general_task_11,12,12,1.0,0.5
hr_analytics,gemini-2.5-pro,0.6,general_task_11,12,12,1.0,1.0
hr_analytics,gpt-4o,0.6,general_task_11,12,12,1.0,0.0
hr_analytics,gemini-2.5-flash,0.6,general_task_11,12,12,1.0,0.0
hr_analytics,gemini-2.5-pro,0.6,general_task_12,12,8,0.7000000000000001,0.25
hr_analytics,gpt-5,0.6,general_task_12,12,8,0.7000000000000001,0.5
hr_analytics,gemini-2.5-flash,0.6,general_task_12,12,8,0.7000000000000001,0.25
hr_analytics,gpt-4.1,0.6,general_task_12,12,8,0.7000000000000001,0.25
hr_analytics,gpt-4o,0.6,general_task_12,12,8,0.7000000000000001,0.5
hr_analytics,gpt-5-mini,0.6,general_task_12,12,8,0.7000000000000001,0.5
hr_analytics,gpt-5,0.6,general_task_16,16,10,0.7692307692307693,0.0
hr_analytics,gpt-4o,0.6,general_task_16,16,10,0.7692307692307693,0.0
hr_analytics,gemini-2.5-pro,0.6,general_task_16,16,10,0.7692307692307693,0.0
hr_analytics,gpt-4.1,0.6,general_task_16,16,10,0.7692307692307693,0.0
hr_analytics,gpt-5-mini,0.6,general_task_16,16,10,0.7692307692307693,0.0
hr_analytics,gemini-2.5-flash,0.6,general_task_16,16,10,0.7692307692307693,0.0
hr_analytics,gpt-5,0.6,general_task_16,16,10,0.7692307692307693,0.0
hr_analytics,gpt-4o,0.6,general_task_2,21,22,0.9767441860465117,0.3333333333333333
hr_analytics,gpt-5,0.6,general_task_2,21,22,0.9767441860465117,0.3333333333333333
hr_analytics,gemini-2.5-pro,0.6,general_task_2,21,22,0.9767441860465117,0.3333333333333333
hr_analytics,gpt-4.1,0.6,general_task_2,21,22,0.9767441860465117,0.16666666666666666
hr_analytics,gemini-2.5-flash,0.6,general_task_2,21,22,0.9767441860465117,0.16666666666666666
hr_analytics,gpt-5-mini,0.6,general_task_2,21,22,0.9767441860465117,0.3333333333333333
hr_analytics,gpt-4o,0.6,general_task_21,12,12,1.0,1.0
hr_analytics,gpt-4.1,0.6,general_task_21,12,12,1.0,1.0
hr_analytics,gpt-5-mini,0.6,general_task_21,12,12,1.0,1.0
hr_analytics,gemini-2.5-flash,0.6,general_task_21,12,12,1.0,1.0
hr_analytics,gpt-5,0.6,general_task_21,12,12,1.0,1.0
hr_analytics,gemini-2.5-pro,0.6,general_task_21,12,12,1.0,1.0
hr_analytics,gpt-5-mini,0.6,general_task_26,8,8,1.0,0.0
hr_analytics,gemini-2.5-pro,0.6,general_task_26,8,8,1.0,0.0
hr_analytics,gpt-4.1,0.6,general_task_26,8,8,1.0,0.0
hr_analytics,gpt-5,0.6,general_task_26,8,8,1.0,0.0
hr_analytics,gpt-4o,0.6,general_task_26,8,8,1.0,0.0
hr_analytics,gemini-2.5-flash,0.6,general_task_26,8,8,1.0,0.0
hr_analytics,gpt-5-mini,0.6,general_task_3,13,14,0.962962962962963,0.6666666666666666
hr_analytics,gemini-2.5-pro,0.6,general_task_3,13,14,0.962962962962963,0.6666666666666666
hr_analytics,gpt-4o,0.6,general_task_3,13,14,0.962962962962963,0.3333333333333333
hr_analytics,gpt-4.1,0.6,general_task_3,13,14,0.962962962962963,0.3333333333333333
hr_analytics,gpt-5,0.6,general_task_3,13,14,0.962962962962963,0.6666666666666666
hr_analytics,gemini-2.5-flash,0.6,general_task_3,13,14,0.962962962962963,0.3333333333333333
hr_analytics,gemini-2.5-pro,0.6,general_task_34,19,19,1.0,0.5
hr_analytics,gpt-4o,0.6,general_task_34,19,19,1.0,0.5
hr_analytics,gpt-5-mini,0.6,general_task_34,19,19,1.0,0.5
hr_analytics,gpt-5,0.6,general_task_34,19,19,1.0,0.5
hr_analytics,gemini-2.5-flash,0.6,general_task_34,19,19,1.0,0.5
hr_analytics,gpt-4.1,0.6,general_task_34,19,19,1.0,0.5
hr_analytics,gemini-2.5-flash,0.6,general_task_37,13,13,1.0,0.0
hr_analytics,gpt-4.1,0.6,general_task_37,13,13,1.0,0.0
hr_analytics,gemini-2.5-pro,0.6,general_task_37,13,13,1.0,0.5
hr_analytics,gpt-5-mini,0.6,general_task_37,13,13,1.0,0.0
hr_analytics,gpt-4o,0.6,general_task_37,13,13,1.0,0.0
hr_analytics,gpt-5,0.6,general_task_37,13,13,1.0,0.5
hr_analytics,gemini-2.5-flash,0.6,general_task_6,16,19,0.9142857142857143,0.2
hr_analytics,gpt-4.1,0.6,general_task_6,16,19,0.9142857142857143,0.2
hr_analytics,gpt-5-mini,0.6,general_task_6,16,19,0.9142857142857143,0.4
hr_analytics,gpt-5-low,0.6,general_task_6,14,19,0.8484848484848484,0.4
hr_analytics,gemini-2.5-pro,0.6,general_task_6,16,19,0.9142857142857143,0.4
hr_analytics,gpt-5,0.6,general_task_6,14,19,0.8484848484848484,0.4
hr_analytics,gpt-4o,0.6,general_task_6,16,19,0.9142857142857143,0.2
hr_analytics,gpt-5-low,0.6,general_task_9,17,17,1.0,0.4
hr_analytics,gpt-5-mini,0.6,general_task_9,17,17,1.0,0.4
hr_analytics,gpt-4.1,0.6,general_task_9,17,17,1.0,0.4
hr_analytics,gpt-4o,0.6,general_task_9,17,17,1.0,0.4
hr_analytics,gemini-2.5-flash,0.6,general_task_9,17,17,1.0,0.4
hr_analytics,gpt-5,0.6,general_task_9,17,17,1.0,0.4
hr_analytics,gemini-2.5-pro,0.6,general_task_9,17,17,1.0,0.4
students,gpt-5-mini,0.6,general_task_11,22,22,0.9545454545454546,1.0
students,gemini-2.5-flash,0.6,general_task_11,22,22,1.0,1.0
students,gpt-4.1,0.6,general_task_11,22,22,0.9545454545454546,1.0
students,gpt-4o,0.6,general_task_11,22,22,0.9545454545454546,1.0
students,gpt-5,0.6,general_task_11,22,22,0.9545454545454546,1.0
students,gemini-2.5-pro,0.6,general_task_11,22,22,0.9545454545454546,1.0
students,gpt-5,0.6,general_task_12,12,12,1.0,1.0
students,gpt-4.1,0.6,general_task_12,12,12,1.0,1.0
students,gemini-2.5-flash,0.6,general_task_12,12,12,1.0,1.0
students,gpt-4o,0.6,general_task_12,12,12,1.0,1.0
students,gemini-2.5-pro,0.6,general_task_12,12,12,1.0,1.0
students,gpt-5-mini,0.6,general_task_12,12,12,1.0,1.0
students,gpt-5-mini,0.6,general_task_13,20,20,0.9500000000000001,1.0
students,gemini-2.5-pro,0.6,general_task_13,20,20,0.9500000000000001,1.0
students,gpt-4o,0.6,general_task_13,20,20,0.9500000000000001,1.0
students,gemini-2.5-flash,0.6,general_task_13,20,20,1.0,1.0
students,gpt-5,0.6,general_task_13,20,20,0.9500000000000001,1.0
students,gpt-4.1,0.6,general_task_13,20,20,0.9500000000000001,1.0
students,gemini-2.5-flash,0.6,general_task_15,23,23,1.0,0.0
students,gemini-2.5-pro,0.6,general_task_15,23,23,0.9565217391304348,0.0
students,gpt-5-mini,0.6,general_task_15,23,23,0.9565217391304348,0.0
students,gpt-4o,0.6,general_task_15,25,23,0.9166666666666666,0.0
students,gpt-4.1,0.6,general_task_15,25,23,0.9166666666666666,0.0
students,gpt-5,0.6,general_task_15,23,23,0.9565217391304348,0.0
students,gemini-2.5-flash,0.6,general_task_17,18,18,1.0,1.0
students,gpt-5-mini,0.6,general_task_17,18,18,1.0,1.0
students,gemini-2.5-pro,0.6,general_task_17,18,18,1.0,1.0
students,gpt-5,0.6,general_task_17,18,18,1.0,1.0
students,gpt-4.1,0.6,general_task_17,18,18,1.0,1.0
students,gpt-4o,0.6,general_task_17,18,18,1.0,1.0
students,gpt-5-mini,0.6,general_task_19,14,14,1.0,1.0
students,gpt-4o,0.6,general_task_19,15,14,0.9655172413793104,1.0
students,gemini-2.5-flash,0.6,general_task_19,14,14,1.0,1.0
students,gpt-4.1,0.6,general_task_19,14,14,1.0,1.0
students,gemini-2.5-pro,0.6,general_task_19,14,14,1.0,1.0
students,gpt-5,0.6,general_task_19,14,14,1.0,1.0
students,gpt-4o,0.6,general_task_25,10,10,1.0,1.0
students,gpt-5,0.6,general_task_25,10,10,1.0,1.0
students,gpt-5-mini,0.6,general_task_25,10,10,1.0,1.0
students,gpt-4.1,0.6,general_task_25,10,10,1.0,1.0
students,gemini-2.5-pro,0.6,general_task_25,10,10,1.0,1.0
students,gemini-2.5-flash,0.6,general_task_25,10,10,1.0,1.0
students,gemini-2.5-pro,0.6,general_task_3,17,17,0.9411764705882353,1.0
students,gpt-5-mini,0.6,general_task_3,17,17,0.9411764705882353,1.0
students,gemini-2.5-flash,0.6,general_task_3,17,17,1.0,1.0
students,gpt-5,0.6,general_task_3,17,17,0.9411764705882353,1.0
students,gpt-4o,0.6,general_task_3,17,17,0.9411764705882353,1.0
students,gpt-4.1,0.6,general_task_3,17,17,1.0,1.0
students,gemini-2.5-pro,0.6,general_task_35,13,13,1.0,0.0
students,gpt-5-mini,0.6,general_task_35,13,13,1.0,0.0
students,gpt-4o,0.6,general_task_35,13,13,1.0,0.0
